rows    | tot_costs   | exec_time(ms)  | exec_time_cs| ncond | role        | av_data   
2       | 2107.38     | 32.612         | 3.5607      | 0     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.38     | 33.912         | 3.6889      | 0     | tfog_acoast_u|   12304975
19      | 2300.38     | 35.898         | 3.8704      | 0     | tfog_acoast_u|   12304975
15      | 2300.38     | 41.43          | 4.4351      | 0     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
103     | 2107.3      | 33.27          | 3.6343      | 1     | tfog_abells_u|   13995064
11      | 2107.3      | 28.679         | 3.1662      | 1     | tfog_abells_u|   13995064
24      | 2107.3      | 40.994         | 4.3974      | 1     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.29     | 40.411         | 4.3497      | 1     | tfog_acoast_u|   12304975
155     | 2300.29     | 50.471         | 5.3558      | 1     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
2       | 2108.74     | 30.222         | 3.3237      | 2     | tfog_abells_u|   13995064
22      | 2108.74     | 28.63          | 3.1757      | 2     | tfog_abells_u|   13995064
0       | 2108.74     | 32.508         | 3.5508      | 2     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2301.98     | 33.21          | 3.63        | 2     | tfog_acoast_u|   12304975
0       | 2301.98     | 35.749         | 3.8603      | 2     | tfog_acoast_u|   12304975
1       | 2301.98     | 42.141         | 4.5183      | 2     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
3       | 2110.48     | 33.43          | 3.6393      | 3     | tfog_abells_u|   13995064
0       | 2110.48     | 28.582         | 3.1597      | 3     | tfog_abells_u|   13995064
6       | 2110.48     | 40.614         | 4.3715      | 3     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2304.06     | 40.313         | 4.319       | 3     | tfog_acoast_u|   12304975
9       | 2304.06     | 51.074         | 5.4109      | 3     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
0       | 2112.28     | 30.605         | 3.3908      | 4     | tfog_abells_u|   13995064
1       | 2112.28     | 29.312         | 3.2382      | 4     | tfog_abells_u|   13995064
0       | 2112.28     | 32.923         | 3.5928      | 4     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2306.18     | 33.329         | 3.6618      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 35.894         | 3.897       | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 41.155         | 4.4245      | 4     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
1       | 2114.09     | 33.937         | 3.7086      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 28.212         | 3.155       | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 40.294         | 4.3369      | 5     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2308.33     | 39.933         | 4.2976      | 5     | tfog_acoast_u|   12304975
0       | 2308.33     | 49.929         | 5.2987      | 5     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
11      | 2107.38     | 30.424         | 3.3461      | 0     | tfog_abells_u|   13995064
700     | 2107.38     | 29.538         | 3.2612      | 0     | tfog_abells_u|   13995064
2       | 2107.38     | 33.067         | 3.6065      | 0     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.38     | 33.695         | 3.6676      | 0     | tfog_acoast_u|   12304975
19      | 2300.38     | 36.08          | 3.9107      | 0     | tfog_acoast_u|   12304975
15      | 2300.38     | 41.573         | 4.452       | 0     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
103     | 2107.3      | 32.777         | 3.5807      | 1     | tfog_abells_u|   13995064
11      | 2107.3      | 27.899         | 3.0901      | 1     | tfog_abells_u|   13995064
24      | 2107.3      | 40.633         | 4.3643      | 1     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.29     | 39.969         | 4.2817      | 1     | tfog_acoast_u|   12304975
155     | 2300.29     | 50.529         | 5.366       | 1     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
