rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 79.125         | 8.1326      | 0.044       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 75.352         | 7.7331      | 0.039       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 13.171         | 1.3781      | 0.041       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.307          | 0.6946      | 0.04        | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 6.459          | 0.7054      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.498          | 0.7124      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.804          | 0.8388      | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.819          | 0.8409      | 0.039       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.45           | 0.7037      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.449          | 0.7037      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.461          | 0.7043      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 6.534          | 0.7125      | 0.035       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.593          | 0.7238      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.905          | 0.8535      | 0.037       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 8.427          | 0.9014      | 0.041       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.204          | 0.7783      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.813          | 0.74        | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.63           | 0.7211      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
